3.800 81.071 -128.658 -0.374 5	500.000 442.516 -500.000 442.516 0.000 1942.516 -1500.000 1442.516 1500.000 1442.516 
4.000 82.517 -109.068 -0.386 5	500.000 430.264 -500.000 430.264 0.000 1930.264 -1500.000 1430.264 1500.000 1430.264 
4.200 93.167 -76.935 -0.372 5	500.000 417.238 -500.000 417.238 0.000 1917.238 -1500.000 1417.238 1500.000 1417.238 
4.400 91.262 -94.006 -0.384 5	500.000 403.514 -500.000 403.514 0.000 1903.514 -1500.000 1403.514 1500.000 1403.514 
4.600 102.538 -43.743 -0.354 5	500.000 389.163 -500.000 389.163 0.000 1889.163 -1500.000 1389.163 1500.000 1389.163 
4.800 91.161 -71.493 -0.387 5	500.000 374.246 -500.000 374.246 0.000 1874.246 -1500.000 1374.246 1500.000 1374.246 
5.000 104.790 -53.533 -0.370 5	500.000 358.822 -500.000 358.822 0.000 1858.822 -1500.000 1358.822 1500.000 1358.822 
5.200 108.934 -27.167 -0.379 5	500.000 342.940 -500.000 342.940 0.000 1842.940 -1500.000 1342.940 1500.000 1342.940 
5.400 114.394 -21.761 -0.298 5	500.000 326.646 -500.000 326.646 0.000 1826.646 -1500.000 1326.646 1500.000 1326.646 
5.600 113.404 17.285 -0.312 5	500.000 309.981 -500.000 309.981 0.000 1809.981 -1500.000 1309.981 1500.000 1309.981 
5.800 125.047 27.897 -0.401 5	500.000 292.983 -500.000 292.983 0.000 1792.983 -1500.000 1292.983 1500.000 1292.983 
6.000 138.548 74.791 -0.271 5	500.000 275.685 -500.000 275.685 0.000 1775.685 -1500.000 1275.685 1500.000 1275.685 
6.200 135.854 55.928 -0.391 5	500.000 258.116 -500.000 258.116 0.000 1758.116 -1500.000 1258.116 1500.000 1258.116 
6.400 150.715 61.948 -0.381 5	500.000 240.305 -500.000 240.305 0.000 1740.305 -1500.000 1240.305 1500.000 1240.305 
6.600 173.173 91.285 -0.369 5	496.748 229.451 -503.149 215.051 -24.800 1722.096 -1517.445 1200.548 1482.244 1243.747 
6.800 159.351 95.501 -0.416 5	491.042 224.168 -508.134 183.571 -69.441 1702.633 -1547.906 1142.150 1449.621 1263.941 
7.000 181.231 103.566 -0.448 5	483.342 223.251 -513.733 146.827 -129.831 1680.652 -1587.233 1067.478 1403.994 1296.750 
7.200 185.911 130.388 -0.503 5	473.909 225.668 -518.860 105.630 -202.533 1654.803 -1631.668 978.360 1346.640 1338.476 
7.400 189.544 111.437 -0.544 5	462.895 230.545 -522.576 60.703 -284.604 1623.831 -1677.890 876.332 1278.524 1385.859 
7.600 170.485 55.044 -0.617 6	450.396 237.141 -524.096 12.719 -373.482 1586.668 -1723.010 762.790 1200.467 1436.054 2024.345 86.526 
7.800 195.135 109.994 -0.607 5	436.488 244.827 -466.905 1542.472 -1764.549 639.079 1113.247 1486.599 2016.639 188.955 
