8.800 2.330 2.263 0.016 12	1880.024 -212.442 1239.871 1277.582 228.481 -1902.157 724.485 251.658 1687.381 763.845 1019.284 1808.847 486.017 -1281.883 297.427 -2309.833 1794.132 823.325 2377.938 671.780 1369.021 -881.601 2252.715 770.359 
9.000 -9.394 2.330 0.006 12	1972.700 -263.175 1196.319 1349.070 222.164 -1897.425 688.709 197.014 1737.115 773.424 987.830 1791.096 599.382 -1312.647 330.387 -2301.184 1808.475 758.689 2374.150 652.502 1395.120 -947.273 2208.311 797.892 
9.200 -6.239 1.805 0.006 12	1925.063 -246.250 1217.959 1336.062 211.610 -1926.084 679.470 173.856 1646.718 814.294 980.011 1771.521 536.198 -1336.839 345.064 -2245.206 1804.381 828.666 2333.686 645.112 1449.438 -902.156 2248.624 824.102 
9.400 -8.867 1.646 0.014 12	1976.385 -225.892 1264.459 1357.307 167.979 -1915.209 741.693 213.837 1750.232 762.867 992.857 1754.001 548.291 -1324.759 255.886 -2302.179 1824.432 820.161 2421.242 640.254 1449.909 -927.379 2234.157 750.438 
9.600 -6.199 2.590 0.011 12	1949.029 -243.646 1226.434 1367.612 167.863 -1911.569 678.224 225.214 1683.302 810.409 976.490 1728.891 519.164 -1296.381 277.371 -2294.129 1797.540 819.994 2330.261 649.829 1398.406 -907.509 2214.612 844.575 
9.800 -4.395 2.127 0.020 12	1924.419 -221.197 1197.242 1341.656 152.823 -1891.193 641.339 215.480 1650.698 790.370 1036.515 1792.275 545.195 -1336.731 269.141 -2329.520 1797.930 823.293 2328.534 640.995 1410.779 -869.362 2205.908 819.959 
10.000 -5.704 2.359 0.013 12	1924.646 -223.724 1235.666 1367.719 171.478 -1917.031 708.447 234.987 1657.370 826.516 1035.650 1768.182 581.256 -1298.962 257.713 -2325.994 1783.597 778.574 2360.915 665.799 1413.432 -928.065 2179.205 817.978 
10.200 -14.505 1.747 -0.001 12	1958.321 -223.764 1140.199 1328.969 169.294 -1893.948 666.365 237.177 1709.824 776.075 984.949 1736.405 574.711 -1335.234 331.958 -2303.621 1786.151 818.218 2387.793 634.469 1422.103 -953.688 2221.432 812.038 
10.400 1.410 0.789 -0.005 12	1939.473 -228.361 1171.164 1290.311 191.842 -1891.785 704.369 211.559 1739.132 757.104 983.482 1801.319 552.837 -1295.027 331.188 -2263.121 1809.530 818.513 2328.543 644.419 1433.572 -912.122 2267.379 846.936 
10.600 2.115 0.741 -0.014 12	1967.027 -247.198 1192.358 1323.294 233.845 -1942.393 733.356 203.823 1720.320 751.447 994.913 1725.366 526.283 -1278.441 310.273 -2292.598 1826.478 846.235 2339.140 673.674 1474.232 -882.417 2210.060 827.352 
10.800 11.495 -0.076 -0.016 12	1952.567 -269.715 1214.883 1333.689 195.009 -1952.927 631.372 149.924 1666.811 782.305 1014.650 1755.290 509.327 -1310.831 358.428 -2277.736 1742.222 845.092 2372.396 664.874 1411.131 -900.391 2214.017 850.507 
11.000 13.512 1.008 -0.041 12	1925.716 -187.503 1168.892 1357.559 206.448 -1912.242 653.076 262.267 1692.901 751.749 944.731 1747.825 555.006 -1359.797 322.517 -2334.322 1799.066 821.407 2318.024 659.980 1480.741 -856.201 2246.714 870.069 
11.200 21.890 0.837 -0.075 12	1956.770 -137.755 1143.511 1376.117 258.051 -1915.661 674.351 229.442 1643.008 832.648 975.498 1785.850 595.125 -1302.932 426.067 -2247.753 1740.886 846.374 2324.199 784.936 1448.144 -818.452 2179.948 896.588 
11.400 26.972 1.253 -0.106 12	1974.918 -101.627 1078.240 1416.460 327.022 -1866.066 708.387 299.879 1638.835 860.284 869.811 1852.468 597.202 -1312.464 489.730 -2264.654 1784.988 936.359 2302.132 840.606 1498.455 -766.227 2113.985 963.897 
11.600 25.440 1.028 -0.162 12	1948.085 21.257 985.714 1459.837 423.001 -1893.698 694.429 289.694 1561.035 951.469 758.025 1914.459 686.199 -1227.570 555.962 -2273.711 1688.908 1030.597 2302.681 928.369 1508.115 -727.045 2090.626 1056.421 
11.800 31.872 0.679 -0.215 12	1971.820 91.248 962.257 1512.233 511.772 -1885.472 641.527 362.914 1535.930 1020.655 725.298 1876.451 785.950 -1219.220 675.555 -2225.880 1651.214 1115.531 2251.262 1043.320 1590.255 -654.171 2046.459 1217.060 
12.000 18.652 0.380 -0.264 12	1928.860 225.681 837.306 1579.801 621.965 -1784.750 630.561 376.459 1467.306 1117.089 597.648 1936.580 851.093 -1200.557 795.772 -2196.696 1551.344 1205.611 2114.785 1252.821 1555.203 -625.063 1939.419 1343.821 
